ID,Track,Singer(s),Stream
373,Young Dumb & Broke,Khalid,16300488
374,What Lovers Do (feat. SZA),Maroon 5; SZA,19867925
375,Puntos Suspensivos,Piso 21,12884126
376,Something Just Like This,The Chainsmokers; Coldplay,12605442
377,This Is Me,Keala Settle; The Greatest Showman Ensemble,3938905
378,HaifischNikez Allstars,LX; Maxwell; Bonez MC; Gzuz; Sa4,2551998
379,Ciumeira - Ao Vivo,Marília Mendonça,3326059
380,Agora é Tudo Meu,DENNIS; MC Kevinho,11056589
381,Quem Me Dera,Márcia Fellipe; Jerry Smith,6463367
382,Só Pra Castigar,Wesley Safadão,3769903
383,X,Nicky Jam; J Balvin,2614578
384,Não Fala Não pra Mim,Humberto & Ronaldo; Jerry Smith,1093399
385,Billie Jean,Michael Jackson,2008463
386,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis; Macklemore; Ryan Lewis; Ray Dalton,1656248
387,Feel It Still,Portugal. The Man,1628926
388,Whenever (feat. Conor Maynard),Kris Kross Amsterdam; The Boy Next Door; Conor Maynard,942923
389,Nevermind,Dennis Lloyd,898241
390,Like I Do,David Guetta; Martin Garrix; Brooks,869598
391,No Brainer,DJ Khaled; Justin Bieber; Quavo; Chance the Rapper,3820176
392,September,Earth; Wind & Fire,1415230
393,Wake Me Up,Avicii,797910
394,Hey Ya!,Outkast,1364759
395,Without You (feat. Sandro Cavazza),Avicii; Sandro Cavazza,787084
396,One Dance,Drake; Wizkid; Kyla,1388056
397,Mr. Brightside,The Killers,3644417
398,Finesse - Remix; feat. Cardi B,Bruno Mars; Cardi B,1326100
399,Take on Me,a-ha,1313560
400,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,1339174
401,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo; David Guetta; Nicki Minaj; Willy William,743474
402,Born To Be Yours,Kygo; Imagine Dragons,1877196
403,Don't Stop Believin',Journey,1273469
404,Flames,David Guetta; Sia,731118
405,Mi Gente,J Balvin; Willy William,730844
406,Freaky Friday (feat. Chris Brown),Lil Dicky; Chris Brown,727852
407,Cheap Thrills,Sia,1282263
408,More Than You Know,Axwell /\ Ingrosso,708025
409,Sweet Dreams (Are Made of This) - Remastered,Eurythmics; Annie Lennox; Dave Stewart,697842
410,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,692027
411,No Me Acuerdo,Thalia; NATTI NATASHA,606923
412,Jenifer,Gabriel Diniz,15102071
413,Stayin' Alive,Bee Gees,536886
414,Medley da Gaiola - DENNIS Remix,MC Kevin o Chris; DENNIS,536447
415,Quem Pegou Pegou - Ao Vivo,Henrique & Juliano,524230
416,Trampoline,SHAED,21865495
417,Ocean (feat. Khalid),Martin Garrix; Khalid,4164314
418,I'm Yours,Jason Mraz,24779959
419,Silence,Marshmello; Khalid,21230726
420,Treat You Better,Shawn Mendes,6040255
421,Crushed Up,Future,37304888
422,medicine,Bring Me The Horizon,861296
423,Undecided,Chris Brown,40291681
424,I Found You / Nilda’s Story (with Calvin Harris & Miguel),benny blanco; Calvin Harris; Miguel,815387
425,Che cazzo ridi (feat. Trippie Redd),Fedez; Tedua; Trippie Redd,672376
426,Butterfly Doors,Lil Pump,28566176
427,Sola,Manuel Turizo,35922688
428,Someone You Loved,Lewis Capaldi,51514992
429,WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish,5172777
430,Lie To Me,5 Seconds of Summer,601762
431,Unforgettable,French Montana; Swae Lee,606022
432,Dancing With A Stranger (with Normani),Sam Smith; Normani,147681705
433,Lost in the Fire (feat. The Weeknd),Gesaffelstein; The Weeknd,68882186
