ID,Track,Singer(s),Stream
167,Baby,Amenazzy; Nicky Jam; Farruko,25041634
168,Kiss and Make Up,Dua Lipa; BLACKPINK,28176021
169,Nowadays Pt. 2 (feat. Landon Cube),Lil Skies; Landon Cube,751710
170,Space Cadet (feat. Gunna),Metro Boomin; Gunna,15079259
171,BEBE,6ix9ine; Anuel AA,5944437
172,Look Alive (feat. Drake),BlocBoy JB; Drake,7807033
173,Asesina - Remix,Brytiago; Daddy Yankee; Ozuna; Darell; Anuel AA,4693465
174,Nobody,Martin Jensen; James Arthur,2052503
175,Rise,Jonas Blue; Jack & Jack,27826903
176,ocean eyes,Billie Eilish,69927443
177,in my head,Ariana Grande,1338665
178,MALA,6ix9ine; Anuel AA,5978616
179,Bones (feat. OneRepublic),Galantis; OneRepublic,1334378
180,Ric Flair Drip (with Metro Boomin),Offset; Metro Boomin,14275318
181,Closer,The Chainsmokers; Halsey,60083063
182,Big Plans,Why Don't We,17669770
183,Vamos pra Gaiola,MC Kevin o Chris; FP do Trem Bala,2161850
184,Be Like Me (feat. Lil Wayne),Lil Pump; Lil Wayne,705087
185,Ta To Gucci (Remix),Cauty; Brytiago; Darell; Cosculluela; Rafa Pabön; Chencho Corleone,6485994
186,Culpables,KAROL G; Anuel AA,1975513
187,Ya No Tiene Novio,Sebastian Yatra; Mau y Ricky,3292247
188,Falling Down - Bonus Track,Lil Peep; XXXTENTACION,9594075
189,XO Tour Llif3,Lil Uzi Vert,44728616
190,Swan Song - From the Motion Picture "Alita: Battle Angel",Dua Lipa,694996
191,Africa,TOTO,25163237
192,Killer Queen - Remastered 2011,Queen,3184490
193,Noticed,Lil Mosey,5651373
194,In My Blood,Shawn Mendes,23072757
195,Dile la Verdad,The Rudeboyz; Jowell & Randy; Manuel Turizo,1345131
196,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,13501847
197,I Love It (& Lil Pump),Kanye West; Lil Pump,4583243
198,KIKA,6ix9ine; Tory Lanez,3232695
199,Burnin' Up,Jonas Brothers,686991
200,Aullando,Wisin & Yandel; Romeo Santos,77960969
201,Agora é Tudo Meu,DENNIS; MC Kevinho,1368553
202,Pa Mí - Remix,Dalex; Rafa Pabön; KHEA; Sech; Feid; Cazzu; Lenny Tavárez,163899686
203,Terremoto,Anitta; MC Kevinho,1271373
204,Hoje Eu Vou Parar Na Gaiola,Mc Livinho; Rennan da Penha,1266318
205,Soldi,Mahmood,16001485
206,Cuando Te Besé,Becky G; Paulo Londra,1273843
207,Atrasadinha - Live,Felipe Araújo; Ferrugem,669148
208,Caro,Bad Bunny,5062745
