ID,Track,Singer(s),Stream
261,She Knows (feat. Amber Coffman & Cults),J. Cole; Cults; Amber Coffman,35876933
262,INFERNO,Sub Urban; Bella Poarch,12636677
263,Happier Than Ever - Edit,Billie Eilish,85403834
264,Nostálgico,Rvssian; Rauw Alejandro; Chris Brown,111119690
265,Shivers,Ed Sheeran,308206731
266,LALISA,LISA,108900615
267,MONEY,LISA,224834911
268,Una Nota,J Balvin; Sech,68505591
269,range brothers (with Kendrick Lamar),Baby Keem; Kendrick Lamar,5200071
270,2CB,RAF Camora; Luciano,5321504
271,Lonely (with Lil Wayne),DaBaby; Lil Wayne,2626070
272,trademark usa,Baby Keem,1019836
273,Have Mercy,Chlöe,45572324
274,Obsessed With You,Central Cee,23138455
275,simple times,Kacey Musgraves,901918
276,Bala Love,Mc Anjim; Dj Lv Mdp; DJ PH DA SERRA,43334917
277,Notti In Bianco,BLANCO,880102
278,Angel Baby,Troye Sivan,870300
279,Blu Celeste,BLANCO,855944
280,I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,855804
281,issues,Baby Keem,841947
282,Nota de Repúdio - Ao Vivo,Gusttavo Lima,23606693
283,Mr. Brightside,The Killers,61264927
284,Lucid Dreams,Juice WRLD,31070192
285,love nwantiti (feat. ElGrande Toto) - North African Remix,CKay; ElGrandeToto,21237693
286,love nwantiti (ah ah ah),CKay,210977107
287,Photograph,Ed Sheeran,25443794
288,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay; Dj Yo!; AX'EL,187747566
289,...And to Those I Love Thanks for Sticking Around,$uicideboy$,44508841
290,Búscate Otro,Jc La Nevula; Atomic Otro Way,2382545
291,THATS WHAT I WANT,Lil Nas X,216605367
292,SCOOP (feat. Doja Cat),Lil Nas X; Doja Cat,19929323
293,Wildest Dreams (Taylor's Version),Taylor Swift,76145669
294,DEAD RIGHT NOW,Lil Nas X,10445513
295,DOLLA SIGN SLIME (feat. Megan Thee Stallion),Lil Nas X; Megan Thee Stallion,13671585
296,ONE OF ME (feat. Elton John),Lil Nas X; Elton John,7539021
297,SUN GOES DOWN,Lil Nas X,9911625
298,LOST IN THE CITADEL,Lil Nas X,8200216
299,TALES OF DOMINICA,Lil Nas X,9544304
300,AM I DREAMING (feat. Miley Cyrus),Lil Nas X; Miley Cyrus,7632690
301,DONT WANT IT,Lil Nas X,6472950
302,VOID,Lil Nas X,4978811
303,LIFE AFTER SALEM,Lil Nas X,3888910
304,DiE4u,Bring Me The Horizon,1072605
305,Breakdown (feat. Demi Lovato),G-Eazy; Demi Lovato,1056088
306,V12 (feat. Lil Uzi Vert),iann dior; Lil Uzi Vert,956567
307,Wildest Dreams,Taylor Swift,9364842
308,Blank Space,Taylor Swift,39919624
309,Bored,Billie Eilish,83882096
310,HOLIDAY,Lil Nas X,725438
311,September,Earth; Wind & Fire,6678100
312,Miss The Rage (feat. Playboi Carti),Trippie Redd; Playboi Carti,5024008
313,Closer,The Chainsmokers; Halsey,4997222
314,Without Me,Eminem,51942351
315,My Universe,Coldplay; BTS,231298338
316,Your Heart,Joyner Lucas; J. Cole,11450018
317,SEJODIOTO,KAROL G,52728932
318,too easy,Gunna; Future,7014905
319,LOCO - English Ver.,ITZY,971069
320,My Universe - Instrumental,Coldplay; BTS,866006
321,For Tonight,Giveon,825097
322,Wonderwall - Remastered,Oasis,3775440
323,Sexo Virtual,Rauw Alejandro,32725576
324,LOCO,ITZY,28815789
325,A Maior Saudade - Ao Vivo,Henrique & Juliano,4046952
326,La Sinvergüenza,Christian Nodal; Banda MS de Sergio Lizárraga,786876
327,Another One Bites The Dust - Remastered 2011,Queen,3793681
328,Expectativa x Realidade,Matheus & Kauan,765597
329,Ya Supérame (En Vivo),Grupo Firme,5096450
330,death bed (coffee for your head),Powfu; beabadoobee,4082022
331,Hope,XXXTENTACION,6365822
332,The Night We Met,Lord Huron,11604662
333,Something Just Like This,The Chainsmokers; Coldplay,15575535
334,ONLY,LeeHi,9379148
335,Till I Collapse,Eminem; Nate Dogg,16936437
336,In the End,Linkin Park,7261124
337,Payphone,Maroon 5; Wiz Khalifa,6333571
