ID,Track,Singer(s),Stream
237,Mad Love,Mabel,89783623
238,Cheum,Nekfeu,928881
239,Les étoiles vagabondes,Nekfeu,917471
240,Every Single Time,Jonas Brothers,903223
241,Love Her,Jonas Brothers,886348
242,Rollercoaster,Jonas Brothers,873040
243,Don't Throw it Away,Jonas Brothers,862750
244,Fades Away (feat. Noonie Bao),Avicii; Noonie Bao,841061
245,Alunissons,Nekfeu,836561
246,XanaX Damage,Future,832656
247,All Around The World (La La La),R3HAB; A Touch Of Class,89795814
248,Never Leave Me (feat. Joe Janiak),Avicii; Joe Janiak,820031
249,Te Soñé de Nuevo,Ozuna,53872598
250,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly; YUNGBLUD; Travis Barker,42177705
251,Excuse Me Mr Sir (feat. Vargas & Lagola),Avicii; Vargas & Lagola,814061
252,Hesitate,Jonas Brothers,810407
253,Takotsubo,Nekfeu,804253
254,Dans l'univers,Nekfeu; Vanessa Paradis,801164
255,Elle pleut,Nekfeu; Nemir,798518
256,Irina Shayk,Ufo361,785727
257,Menteur menteur,Nekfeu,778252
258,Voyage léger,Nekfeu,774927
259,Happy When I'm Sad,Jonas Brothers,770528
260,Strangers,Jonas Brothers,759149
261,NENENE,Fero47,753790
262,Please Tell Me,Future,745157
263,Trust,Jonas Brothers,744921
264,Comeback,Jonas Brothers,742973
265,No Guidance (feat. Drake),Chris Brown; Drake,165736431
266,Wake Me Up,Avicii,1354455
267,Maghreb Gang (feat. French Montana & Khaled),Farid Bang; French Montana; Khaled,8319805
268,Beer Never Broke My Heart,Luke Combs,646668
269,Speechless (Full),Naomi Scott,9537535
270,Down Bad (feat. JID Bas J. Cole EARTHGANG & Young Nudy),Dreamville; JID; Bas; J. Cole; EARTHGANG; Young Nudy,12526376
271,when the party's over - Recorded at Spotify Studios NYC,Lewis Capaldi,6156010
272,You Need To Calm Down,Taylor Swift,177848933
273,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake; J Balvin; Tyga,191821798
274,Sanctuary,Joji,32445140
275,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],BTS; Zara Larsson,4383131
276,Olabilir,MERO,16386031
277,Royal Rumble,Kalazh44; Capital Bra; Samra; Nimo; Luciano,7283129
278,Focus (feat. 21 Savage),Bazzi; 21 Savage,20884227
279,Bounce Back,Little Mix,3621985
