Rank,Track,Singer(s),Stream,Peak,Prev,Streak
186,Culpables,KAROL G; Anuel AA,701.390,80,183,66
187,Ya No Tiene Novio,Sebastian Yatra; Mau y Ricky,699.901,61,187,7
188,Falling Down - Bonus Track,Lil Peep; XXXTENTACION,697.555,2,172,164
189,XO Tour Llif3,Lil Uzi Vert,696.269,9,181,7
190,Swan Song - From the Motion Picture "Alita: Battle Angel",Dua Lipa,694.996,22,157,36
191,Africa,TOTO,694.326,118,199,2
192,Killer Queen - Remastered 2011,Queen,694.315,80,188,6
193,Noticed,Lil Mosey,693.814,38,191,60
194,In My Blood,Shawn Mendes,693.052,4,166,66
195,Dile la Verdad,The Rudeboyz; Jowell & Randy; Manuel Turizo,692.573,144,177,25
196,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,690.202,5,179,66
197,I Love It (& Lil Pump),Kanye West; Lil Pump,689.936,1,184,66
198,KIKA,6ix9ine; Tory Lanez,689.370,3,180,95
199,Burnin' Up,Jonas Brothers,686.991,199,—,1
200,Aullando,Wisin & Yandel; Romeo Santos,684.453,200,—,1
